Message Size,Avg Throughput (msgs/sec),Max Throughput (msgs/sec),Avg Bandwidth (MB/s),Avg Latency (ms),Max Latency (ms),Avg CPU (%),Avg Memory (MB),Total Messages,Test Duration (s)
1KB,63238.010833333334,99489.41,61.75583333333332,862.4586666666665,3568,70.39716666666665,2.0051666666666663,3100208,59.0
10KB,27970.1698855359,29352.65,273.1460770031218,388.422726326743,4326,66.21421436004162,2.282330905306972,28129579,959.0
100KB,6077.254885416666,6375.15,593.4819270833334,1091.9368541666665,2940,90.47438541666666,2.3406666666666665,6095992,959.0
