timestamp,messages_count,bytes_received,msg_throughput,mb_throughput,avg_latency_ms,min_latency_ms,max_latency_ms,cpu_usage_percent,mem_usage_mb
2025-05-22T02:43:54+03:00,18408,18849792,18408.35,17.98,1891.50,1392,2394,101.78,2.66
2025-05-22T02:43:55+03:00,35846,36706304,17923.12,17.50,1940.03,1392,2531,93.51,1.66
2025-05-22T02:43:56+03:00,58038,59430912,19345.93,18.89,1653.79,531,2531,106.76,2.36
2025-05-22T02:43:57+03:00,76636,78475264,19159.08,18.71,1474.37,425,2531,96.91,2.57
2025-05-22T02:43:58+03:00,96599,98917376,19319.68,18.87,1375.90,425,2531,98.11,1.57
2025-05-22T02:43:59+03:00,116044,118829056,19340.33,18.89,1307.23,425,2531,100.64,1.82
2025-05-22T02:44:00+03:00,135839,139099136,19404.91,18.95,1249.18,390,2531,106.07,0.64
2025-05-22T02:44:01+03:00,155554,159287296,19444.18,18.99,1222.02,390,2531,105.44,1.66
2025-05-22T02:44:02+03:00,176518,180754432,19613.04,19.15,1182.72,390,2531,102.56,1.76
2025-05-22T02:44:03+03:00,192953,197583872,19295.01,18.84,1168.27,390,2531,97.53,1.35
2025-05-22T02:44:04+03:00,212820,217927680,19347.28,18.89,1146.16,390,2531,113.14,2.89
2025-05-22T02:44:05+03:00,227817,233284608,18984.69,18.54,1144.24,390,2531,88.54,3.33
2025-05-22T02:44:06+03:00,244283,250145792,18790.85,18.35,1138.74,390,2531,94.35,2.68
2025-05-22T02:44:07+03:00,258936,265150464,18495.03,18.06,1140.14,390,2531,88.57,2.05
2025-05-22T02:44:08+03:00,274252,280834048,18283.28,17.85,1144.58,390,2531,81.27,0.54
2025-05-22T02:44:09+03:00,291150,298137600,18196.90,17.77,1138.89,390,2531,100.74,1.00
2025-05-22T02:44:10+03:00,303797,311088128,17870.38,17.45,1146.59,390,2531,71.47,2.29
2025-05-22T02:44:11+03:00,320805,328504320,17822.44,17.40,1149.77,390,2531,98.63,2.86
2025-05-22T02:44:12+03:00,339842,347998208,17886.23,17.47,1138.23,390,2531,97.85,1.78
2025-05-22T02:44:13+03:00,357480,366059520,17873.97,17.46,1130.87,390,2531,96.99,1.63
2025-05-22T02:44:14+03:00,375150,384153600,17864.20,17.45,1128.02,390,2531,100.96,2.66
2025-05-22T02:44:15+03:00,390055,399416320,17729.73,17.31,1132.02,390,2531,86.28,2.39
2025-05-22T02:44:16+03:00,406691,416451584,17682.18,17.27,1132.51,390,2531,100.85,2.34
2025-05-22T02:44:17+03:00,424653,434844672,17693.82,17.28,1128.84,390,2531,109.96,3.26
2025-05-22T02:44:18+03:00,442377,452994048,17695.05,17.28,1127.58,390,2531,102.10,0.73
2025-05-22T02:44:19+03:00,453464,464347136,17440.76,17.03,1134.54,390,2531,64.54,2.72
2025-05-22T02:44:20+03:00,466205,477393920,17266.86,16.86,1136.90,390,2531,62.86,1.66
2025-05-22T02:44:21+03:00,482870,494458880,17245.35,16.84,1134.85,390,2531,97.12,1.49
2025-05-22T02:44:22+03:00,500340,512348160,17252.95,16.85,1129.63,390,2531,104.62,0.78
2025-05-22T02:44:23+03:00,516255,528645120,17208.45,16.81,1127.43,390,2531,93.53,1.59
2025-05-22T02:44:24+03:00,533370,546170880,17205.26,16.80,1125.36,390,2531,99.68,2.92
2025-05-22T02:44:25+03:00,550036,563236864,17188.62,16.79,1121.61,390,2531,95.05,2.73
2025-05-22T02:44:26+03:00,568565,582210560,17229.11,16.83,1117.03,390,2531,110.69,3.24
2025-05-22T02:44:27+03:00,585296,599343104,17214.58,16.81,1113.55,390,2531,108.26,3.14
2025-05-22T02:44:28+03:00,600822,615241728,17166.30,16.76,1111.63,390,2531,102.03,1.88
2025-05-22T02:44:29+03:00,619212,634073088,17200.30,16.80,1109.74,390,2531,99.93,1.62
2025-05-22T02:44:30+03:00,633821,649032704,17130.22,16.73,1109.76,390,2531,95.67,3.48
2025-05-22T02:44:31+03:00,650699,666315776,17123.65,16.72,1109.80,390,2531,108.27,1.34
2025-05-22T02:44:32+03:00,667892,683921408,17125.41,16.72,1107.59,390,2531,100.56,2.90
2025-05-22T02:44:33+03:00,685285,701731840,17132.12,16.73,1106.27,390,2531,94.25,2.98
2025-05-22T02:44:34+03:00,700324,717131776,17080.98,16.68,1106.66,390,2531,98.14,3.28
2025-05-22T02:44:35+03:00,711183,728251392,16932.55,16.54,1109.23,390,2531,66.29,2.34
2025-05-22T02:44:36+03:00,724336,741720064,16844.53,16.45,1112.15,390,2531,77.33,2.13
2025-05-22T02:44:37+03:00,735251,752897024,16710.17,16.32,1116.26,390,2531,64.25,3.25
2025-05-22T02:44:38+03:00,750200,768204800,16671.12,16.28,1116.89,390,2531,96.23,3.40
2025-05-22T02:44:39+03:00,764691,783043584,16623.59,16.23,1117.49,390,2531,100.91,1.81
2025-05-22T02:44:40+03:00,779309,798012416,16581.03,16.19,1116.58,390,2531,77.77,0.76
2025-05-22T02:44:41+03:00,794090,813148160,16543.51,16.16,1116.14,390,2531,95.18,3.07
2025-05-22T02:44:42+03:00,808470,827873280,16499.37,16.11,1115.56,390,2531,99.04,0.98
2025-05-22T02:44:43+03:00,822256,841990144,16445.12,16.06,1115.35,390,2531,94.93,3.26
2025-05-22T02:44:44+03:00,838305,858424320,16437.34,16.05,1116.42,390,2531,109.35,0.95
2025-05-22T02:44:45+03:00,853228,873705472,16408.20,16.02,1116.39,390,2531,97.58,0.71
2025-05-22T02:44:46+03:00,868312,889151488,16383.23,16.00,1117.01,390,2531,100.37,1.06
2025-05-22T02:44:47+03:00,883318,904517632,16357.72,15.97,1116.64,390,2531,104.32,1.65
2025-05-22T02:44:48+03:00,898422,919984128,16334.89,15.95,1115.71,390,2531,98.94,2.68
2025-05-22T02:44:49+03:00,914159,936098816,16324.26,15.94,1115.82,390,2531,111.74,2.60
2025-05-22T02:44:50+03:00,927077,949326848,16264.37,15.88,1116.37,390,2531,83.47,1.63
2025-05-22T02:44:51+03:00,942250,964864000,16245.67,15.86,1115.52,390,2531,105.80,2.32
2025-05-22T02:44:52+03:00,951397,974230528,16125.32,15.75,1117.46,390,2531,62.09,0.58
2025-05-22T02:44:53+03:00,959264,982286336,15986.17,15.61,1118.81,390,2531,4.80,3.50
