Broker,Message Size,Avg Throughput (msgs/sec),Avg Latency (ms),Avg Memory (MB),CPU Usage (%),Max Throughput (msgs/sec),Min Latency (ms)
Kafka,1KB,48249.12535900104,62.529791883454735,2.115608740894901,56.396742976066605,48949.81,0.0
Pulsar,1KB,8567.681282586027,9.08105318039625,2.6280500521376435,29.353274244004172,8683.26,8.93
