Broker,Message Size,Test Duration,Avg Throughput (msgs/sec),Avg Latency (ms),Avg Memory (MB),CPU Usage (%),Max Throughput (msgs/sec),Min Latency (ms)
Kafka,1KB,14 minutes,48174.46317479192,69.16677764565992,2.0995719381688462,56.537883472057075,48949.81,0.0
RabbitMQ,1KB,14 minutes,46188.15165279428,783.3748275862068,2.21346016646849,84.31485136741975,47201.37,702.12
Pulsar,1KB,14 minutes,8558.161902497028,9.102247324613556,2.6266111771700356,29.330749108204518,8683.26,8.93
Redpanda,1KB,14 minutes,70465.94015457788,12882.340321046375,2.1731272294887036,61.64526753864447,98929.65,3693.74
