timestamp,messages_count,bytes_received,msg_throughput,mb_throughput,avg_latency_ms,min_latency_ms,max_latency_ms,cpu_usage_percent,mem_usage_mb
2025-05-22T02:11:58+03:00,2400,2457600,2396.98,2.34,3449688591.98,3449688274,3449688881,13.99,2.01
2025-05-22T02:11:59+03:00,5000,5120000,2498.58,2.44,-239659888.11,3449688274,3449689511,13.39,3.05
2025-05-22T02:12:00+03:00,8000,8192000,2665.71,2.60,1143846242.95,3449688274,3449690061,15.51,2.68
2025-05-22T02:12:01+03:00,10900,11161600,2724.05,2.66,64965867.37,3449688274,3449690621,15.03,2.17
2025-05-22T02:12:02+03:00,13900,14233600,2779.32,2.71,-532033278.74,3447652612,3449690685,14.69,2.23
2025-05-22T02:12:03+03:00,17200,17612800,2866.04,2.80,231511156.81,3447652612,3449690685,16.13,2.48
2025-05-22T02:12:04+03:00,20001,20481024,2856.77,2.79,-240381774.52,3447652612,3449690685,14.98,2.60
2025-05-22T02:12:05+03:00,23701,24269824,2962.20,2.89,335363059.70,3447652612,3449690685,15.80,2.73
2025-05-22T02:12:06+03:00,27701,28365824,3077.40,3.01,118851596.35,3447652612,3449690685,18.43,2.29
2025-05-22T02:12:07+03:00,31701,32461824,3169.76,3.10,-43021436.78,3447652612,3449690685,17.79,2.05
2025-05-22T02:12:08+03:00,35601,36455424,3236.15,3.16,-178779177.83,3447652612,3449690685,17.47,2.55
2025-05-22T02:12:09+03:00,39602,40552448,3299.85,3.22,187600239.77,3447652612,3449690685,18.08,2.90
2025-05-22T02:12:10+03:00,43303,44342272,3330.72,3.25,40236647.22,3447652612,3449690685,17.69,3.21
2025-05-22T02:12:11+03:00,46903,48028672,3349.92,3.27,-91525524.56,3447652612,3449690685,17.03,2.68
2025-05-22T02:12:12+03:00,50603,51817472,3373.29,3.29,167252927.15,3447652612,3449690685,17.12,2.28
2025-05-22T02:12:13+03:00,54603,55913472,3412.44,3.33,69728313.63,3447652612,3449690685,18.94,2.08
2025-05-22T02:12:14+03:00,58403,59804672,3435.16,3.35,-26339078.52,3447652612,3449690685,17.98,2.21
2025-05-22T02:12:15+03:00,62103,63593472,3449.81,3.37,-116398631.67,3447652612,3449690685,17.36,2.18
2025-05-22T02:12:16+03:00,65904,67485696,3468.41,3.39,89157422.64,3447652612,3449690685,17.87,2.81
2025-05-22T02:12:17+03:00,69404,71069696,3470.00,3.39,-7263633.30,3447652612,3449690685,16.68,2.73
2025-05-22T02:12:18+03:00,73306,75065344,3490.57,3.41,-75002402.45,3447652612,3449690685,18.53,2.82
2025-05-22T02:12:19+03:00,76706,78546944,3486.45,3.40,81139620.15,3447652612,3449690685,17.63,2.24
2025-05-22T02:12:20+03:00,80206,82130944,3487.04,3.41,-1945736.96,3447652612,3449690685,17.58,2.60
2025-05-22T02:12:21+03:00,83606,85612544,3483.43,3.40,-82300061.97,3447652612,3449690685,16.61,2.61
2025-05-22T02:12:22+03:00,87407,89504768,3496.11,3.41,71204334.38,3447652612,3449690685,18.37,3.02
2025-05-22T02:12:23+03:00,91007,93191168,3499.22,3.42,2072067.97,3447652612,3449690685,17.90,2.30
2025-05-22T02:12:24+03:00,94508,96776192,3500.13,3.42,-65475176.04,3447652612,3449690685,17.38,2.14
2025-05-22T02:12:25+03:00,97508,99848192,3482.23,3.40,42612311.64,3447652612,3449690685,14.33,3.07
2025-05-22T02:12:26+03:00,100908,103329792,3479.45,3.40,-25465463.04,3447652612,3449690685,17.77,2.58
