timestamp,messages_count,bytes_received,msg_throughput,mb_throughput,avg_latency_ms,min_latency_ms,max_latency_ms,cpu_usage_percent,mem_usage_mb
2025-05-22T02:00:51+03:00,1502,1538048,1501.27,1.47,3449048050.17,3449047708,3449048318,8.71,2.10
2025-05-22T02:00:52+03:00,4002,4098048,2000.12,1.95,-1160332884.42,3449047708,3449048975,13.01,2.56
2025-05-22T02:00:53+03:00,6502,6658048,2166.84,2.12,611961114.45,3449047708,3449049655,13.10,2.56
2025-05-22T02:00:54+03:00,9502,9730048,2375.19,2.32,-433658478.66,3449047708,3449050330,14.72,2.02
2025-05-22T02:00:55+03:00,13203,13519872,2640.41,2.58,654723430.44,3449047708,3449050862,16.34,1.97
2025-05-22T02:00:56+03:00,16703,17103872,2783.64,2.72,135858723.95,3449047708,3449051399,15.93,2.36
2025-05-22T02:00:57+03:00,20306,20793344,2900.69,2.83,-184702195.34,3449047708,3449051744,16.16,2.16
2025-05-22T02:00:58+03:00,24207,24787968,3025.72,2.95,-361158166.24,3449047708,3449051981,17.35,2.92
2025-05-22T02:00:59+03:00,29108,29806592,3234.09,3.16,280378192.24,3449047708,3449052180,19.59,2.84
2025-05-22T02:01:00+03:00,33709,34518016,3370.77,3.29,165640916.89,3449047708,3449052180,19.92,2.15
2025-05-22T02:01:01+03:00,38709,39638016,3518.90,3.44,113206176.00,3449047708,3449052180,20.57,2.51
2025-05-22T02:01:02+03:00,43509,44553216,3625.64,3.54,57247787.50,3449047708,3449052180,19.47,2.34
2025-05-22T02:01:03+03:00,48409,49570816,3723.38,3.64,19508668.51,3449047708,3449052180,19.66,2.98
2025-05-22T02:01:04+03:00,53409,54690816,3814.79,3.73,-4813761.43,3449047708,3449052180,20.93,2.18
2025-05-22T02:01:05+03:00,58310,59709440,3887.22,3.80,-30870289.52,3449047708,3449052180,20.33,2.25
2025-05-22T02:01:06+03:00,63110,64624640,3944.27,3.85,-58490695.44,3449047708,3449052180,19.68,2.78
2025-05-22T02:01:07+03:00,67810,69437440,3988.73,3.90,-87414141.52,3449047708,3449052180,19.68,2.49
2025-05-22T02:01:08+03:00,72810,74557440,4044.92,3.95,-97912947.66,3449047708,3449052180,20.70,2.20
2025-05-22T02:01:09+03:00,77710,79575040,4089.85,3.99,-111638589.00,3449047708,3449052180,20.10,2.94
2025-05-22T02:01:10+03:00,82710,84695040,4135.42,4.04,103612894.33,3449047708,3449052180,20.57,2.85
2025-05-22T02:01:11+03:00,87510,89610240,4167.05,4.07,76317297.60,3449047708,3449052180,20.01,2.78
2025-05-22T02:01:12+03:00,92310,94525440,4195.78,4.10,51860386.32,3449047708,3449052180,20.66,2.89
2025-05-22T02:01:13+03:00,97310,99645440,4230.80,4.13,36848727.15,3449047708,3449052445,21.09,2.91
2025-05-22T02:01:14+03:00,102298,104753152,4262.36,4.16,22902497.87,3449047708,3449052669,20.58,2.86
2025-05-22T02:01:15+03:00,107012,109580288,4280.39,4.18,1448159.92,3449047708,3449052911,19.72,2.92
2025-05-22T02:01:16+03:00,111914,114599936,4304.32,4.20,-12371245.23,3449047708,3449053164,20.77,2.60
2025-05-22T02:01:17+03:00,116514,119310336,4315.27,4.21,-34035518.31,3449047708,3449053407,19.92,3.01
2025-05-22T02:01:18+03:00,121214,124123136,4328.87,4.23,-51164113.29,3449047708,3449053714,20.28,2.70
2025-05-22T02:01:19+03:00,125914,128935936,4341.80,4.24,-67013976.30,3449047708,3449053951,20.12,2.46
