timestamp,messages_count,bytes_received,msg_throughput,mb_throughput,avg_latency_ms,min_latency_ms,max_latency_ms,partition,offset,cpu_usage_percent,mem_usage_mb
2025-05-22T01:11:11+03:00,0,0,0.00,0.00,0.00,0,0,0,0,0.39,0.46
2025-05-22T01:11:12+03:00,0,0,0.00,0.00,0.00,0,0,0,0,0.09,0.47
2025-05-22T01:11:13+03:00,0,0,0.00,0.00,0.00,0,0,0,0,0.13,0.47
2025-05-22T01:11:14+03:00,109272,111894528,27317.29,26.68,1506.47,1357,1646,0,5601434,124.45,2.47
2025-05-22T01:11:15+03:00,199666,204457984,39933.09,39.00,1445.18,750,1988,0,5691828,100.59,0.71
2025-05-22T01:11:16+03:00,298370,305530880,49728.05,48.56,1178.91,192,1988,0,5790532,123.33,3.41
2025-05-22T01:11:17+03:00,333507,341511168,47642.25,46.53,1096.93,192,1988,0,5825669,56.20,1.71
2025-05-22T01:11:18+03:00,373187,382143488,46648.52,45.56,1056.47,192,1988,0,5865349,58.68,2.37
2025-05-22T01:11:19+03:00,409349,419173376,45482.73,44.42,1047.89,192,1988,0,5901511,53.51,1.81
2025-05-22T01:11:20+03:00,437398,447895552,43739.88,42.71,1071.89,192,1988,0,5929560,49.09,0.99
2025-05-22T01:11:21+03:00,476955,488401920,43359.17,42.34,1136.92,192,2017,0,5969117,60.39,1.66
2025-05-22T01:11:22+03:00,507623,519805952,42301.63,41.31,1202.24,192,2423,0,5999785,51.15,0.79
2025-05-22T01:11:23+03:00,539015,551951360,41462.18,40.49,1283.40,192,2788,0,6031177,53.99,0.81
2025-05-22T01:11:24+03:00,573261,587019264,40947.03,39.99,1382.59,192,3096,0,6065423,57.75,1.17
2025-05-22T01:11:25+03:00,602389,616846336,40158.90,39.22,1468.64,192,3212,0,6094551,52.58,1.71
2025-05-22T01:11:26+03:00,630446,645576704,39402.91,38.48,1546.60,192,3323,0,6122608,51.45,1.29
2025-05-22T01:11:27+03:00,653997,669692928,38470.09,37.57,1613.01,192,3542,0,6146159,45.90,1.58
2025-05-22T01:11:28+03:00,676911,693156864,37606.16,36.72,1685.57,192,3867,0,6169073,43.05,0.89
2025-05-22T01:11:29+03:00,700376,717185024,36861.63,36.00,1761.46,192,4077,0,6192538,47.08,1.07
2025-05-22T01:11:30+03:00,719478,736745472,35973.78,35.13,1826.70,192,4407,0,6211640,40.09,2.17
