timestamp,messages_count,bytes_received,msg_throughput,mb_throughput,avg_latency_ms,min_latency_ms,max_latency_ms,partition,offset,cpu_usage_percent,mem_usage_mb
2025-05-22T01:04:28+03:00,0,0,0.00,0.00,0.00,0,0,0,0,0.65,0.46
2025-05-22T01:04:29+03:00,0,0,0.00,0.00,0.00,0,0,0,0,0.15,0.47
2025-05-22T01:04:30+03:00,0,0,0.00,0.00,0.00,0,0,0,0,0.11,0.47
2025-05-22T01:04:31+03:00,0,0,0.00,0.00,0.00,0,0,0,0,0.24,0.48
2025-05-22T01:04:32+03:00,0,0,0.00,0.00,0.00,0,0,0,0,0.16,0.48
2025-05-22T01:04:33+03:00,0,0,0.00,0.00,0.00,0,0,0,0,0.22,0.49
2025-05-22T01:04:34+03:00,0,0,0.00,0.00,0.00,0,0,0,0,0.11,0.50
2025-05-22T01:04:35+03:00,0,0,0.00,0.00,0.00,0,0,0,0,0.15,0.50
2025-05-22T01:04:36+03:00,0,0,0.00,0.00,0.00,0,0,0,0,0.10,0.51
2025-05-22T01:04:37+03:00,0,0,0.00,0.00,0.00,0,0,0,0,0.18,0.51
